Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78130-78530,G,Rory,Rory McIlroy,McIlroy,78.0076904296875,13,12000,,,,,,,,,G
78130-78767,G,Scottie,Scottie Scheffler,Scheffler,80.4,20,11900,,,,,,,,,G
78130-78707,G,Jon,Jon Rahm,Rahm,73.35000174386161,14,11800,,,,,,,,,G
78130-78893,G,Justin,Justin Thomas,Thomas,84.54706169577206,17,11700,,,,,,,,,G
78130-78467,G,Shane,Shane Lowry,Lowry,61.6000010172526,12,11500,,,,,,,,,G
78130-78569,G,Collin,Collin Morikawa,Morikawa,68.13571602957589,14,11400,,,,,,,,,G
78130-78766,G,Xander,Xander Schauffele,Schauffele,77.9437484741211,16,11300,,,,,,,,,G
78130-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,63.881248474121094,16,11200,,,,,,,,,G
78130-78833,G,Jordan,Jordan Spieth,Spieth,64.42222086588542,18,11100,,,,,,,,,G
78130-79018,G,Will,Will Zalatoris,Zalatoris,62.94117647058823,17,11000,,,,,,,,,G
78130-78815,G,Cameron,Cameron Smith,Smith,72.89285714285714,14,10900,,,,,,,,,G
78130-78289,G,Dustin,Dustin Johnson,Johnson,60.67000122070313,10,10800,,,,,,,,,G
78130-79435,G,Patrick,Patrick Cantlay,Cantlay,76.78461632361778,13,10700,,,,,,,,,G
78130-101713,G,Viktor,Viktor Hovland,Hovland,71.5,16,10600,,,,,,,,,G
78130-78508,G,Hideki,Hideki Matsuyama,Matsuyama,72.27058679917279,17,10500,,,,,,,,,G
78130-78367,G,Brooks,Brooks Koepka,Koepka,54.21333414713542,15,10400,,,,,,,,,G
78130-78620,G,Louis,Louis Oosthuizen,Oosthuizen,56.95,10,10300,,,,,,,,,G
78130-78193,G,Tyrrell,Tyrrell Hatton,Hatton,61.24285888671875,14,10200,,,,,,,,,G
78130-77904,G,Sam,Sam Burns,Burns,68.875,20,10100,,,,,,,,,G
78130-78084,G,Tommy,Tommy Fleetwood,Fleetwood,62.864283970424104,14,10000,,,,,,,,,G
78130-107336,G,Cameron,Cameron Young,Young,59.8631591796875,19,9900,,,,,,,,,G
78130-78078,G,Tony,Tony Finau,Finau,63.1578947368421,19,9900,,,,,,,,,G
78130-80558,G,Joaquin,Joaquin Niemann,Niemann,66.80000135633681,18,9800,,,,,,,,,G
78130-78258,G,Sungjae,Sungjae Im,Im,69.60555691189236,18,9800,,,,,,,,,G
78130-78744,G,Justin,Justin Rose,Rose,61.9933349609375,15,9700,,,,O,Back,,,,G
78130-78430,G,Marc,Marc Leishman,Leishman,62.76666937934028,18,9600,,,,,,,,,G
78130-78780,G,Adam,Adam Scott,Scott,62.96922889122596,13,9600,,,,,,,,,G
78130-77966,G,Corey,Corey Conners,Conners,62.51052374588816,19,9500,,,,,,,,,G
78130-77806,G,Abraham,Abraham Ancer,Ancer,59.72352869370405,17,9500,,,,,,,,,G
78130-78722,G,Patrick,Patrick Reed,Reed,55.629998779296876,20,9400,,,,,,,,,G
78130-78005,G,Bryson,Bryson DeChambeau,DeChambeau,41.18571254185268,7,9400,,,,,,,,,G
78130-78095,G,Ryan,Ryan Fox,Fox,33.03333282470703,3,9300,,,,,,,,,G
78130-110893,G,Robert,Robert Macintyre,Macintyre,46,5,9300,,,,,,,,,G
78130-77922,G,Paul,Paul Casey,Casey,56.26666768391927,6,9200,,,,,,,,,G
78130-78692,G,Seamus,Seamus Power,Power,65.64285714285714,21,9200,,,,,,,,,G
78130-78188,G,Padraig,Padraig Harrington,Harrington,16.38000030517578,5,9100,,,,,,,,,G
78130-78232,G,Billy,Billy Horschel,Horschel,64.18000081380208,15,9100,,,,,,,,,G
78130-78116,G,Sergio,Sergio Garcia,Garcia,57.39000244140625,10,9000,,,,,,,,,G
78130-78663,G,Mito,Mito Pereira,Pereira,60.721738068953805,23,9000,,,,,,,,,G
78130-78228,G,Max,Max Homa,Homa,67.91764562270221,17,9000,,,,,,,,,G
78130-78666,G,Victor,Victor Perez,Perez,28.875,4,8900,,,,,,,,,G
78130-78211,G,Lucas,Lucas Herbert,Herbert,42.266666666666666,15,8900,,,,,,,,,G
78130-78998,G,Gary,Gary Woodland,Woodland,49.38999938964844,20,8900,,,,,,,,,G
78130-110898,G,Christiaan,Christiaan Bezuidenhout,Bezuidenhout,59.394443088107636,18,8800,,,,,,,,,G
78130-78999,G,Tiger,Tiger Woods,Woods,23.899999618530273,2,8800,,,,,,,,,G
78130-78804,G,Webb,Webb Simpson,Simpson,59.92499923706055,16,8800,,,,,,,,,G
78130-77881,G,Keegan,Keegan Bradley,Bradley,61.700002569901315,19,8700,,,,,,,,,G
78130-78935,G,Harold,Harold Varner III,Varner III,63.03529268152573,17,8700,,,,,,,,,G
78130-78689,G,J.T.,J.T. Poston,Poston,48.204345703125,23,8700,,,,,,,,,G
78130-78992,G,Aaron,Aaron Wise,Wise,65.60000128495066,19,8700,,,,,,,,,G
78130-78357,G,Kurt,Kurt Kitayama,Kitayama,48.83157830489309,19,8600,,,,,,,,,G
78130-78372,G,Jason,Jason Kokrak,Kokrak,57.22352869370405,17,8600,,,,,,,,,G
78130-78676,G,Thomas,Thomas Pieters,Pieters,28.399998982747395,6,8600,,,,,,,,,G
78130-78187,G,Brian,Brian Harman,Harman,54.37143089657738,21,8600,,,,,,,,,G
78130-78206,G,Russell,Russell Henley,Henley,71.03125,16,8600,,,,,,,,,G
78130-78356,G,Kevin,Kevin Kisner,Kisner,53.19411692899816,17,8500,,,,,,,,,G
78130-78140,G,Talor,Talor Gooch,Gooch,71.28421181126645,19,8500,,,,,,,,,G
78130-78973,G,Lee,Lee Westwood,Westwood,27.100000381469727,8,8500,,,,,,,,,G
78130-152967,G,Adrian,Adrian Meronk,Meronk,10,1,8500,,,,,,,,,G
78130-78439,G,Hao-Tong,Hao-Tong Li,Li,50.03333536783854,3,8400,,,,,,,,,G
78130-151407,G,Min Woo,Min Woo Lee,Lee,27.01000061035156,10,8400,,,,,,,,,G
