Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78301-78078,G,Tony,Tony Finau,Finau,64.21500244140626,20,12000,,,,,,,,,G
78301-78508,G,Hideki,Hideki Matsuyama,Matsuyama,71.82777913411458,18,11900,,,,O,Wrist,,,,G
78301-78258,G,Sungjae,Sungjae Im,Im,68.01579204358552,19,11500,,,,,,,,,G
78301-78166,G,Adam,Adam Hadwin,Hadwin,62.900001162574405,21,11400,,,,,,,,,G
78301-78538,G,Maverick,Maverick McNealy,McNealy,70.28571428571429,21,11300,,,,,,,,,G
78301-79759,G,Sahith,Sahith Theegala,Theegala,66.65384615384616,26,11200,,,,,,,,,G
78301-79599,G,Davis,Davis Riley,Riley,62.14348038383152,23,11100,,,,,,,,,G
78301-78913,G,Cameron,Cameron Tringale,Tringale,61.391304347826086,23,11000,,,,,,,,,G
78301-77994,G,Cameron,Cameron Davis,Davis,59.57142857142857,21,10900,,,,,,,,,G
78301-78689,G,J.T.,J.T. Poston,Poston,47.79583231608073,24,10800,,,,,,,,,G
78301-78719,G,Chez,Chez Reavie,Reavie,51.53478473165761,23,10700,,,,,,,,,G
78301-78239,G,Charles,Charles Howell III,Howell III,61.724998474121094,16,10600,,,,O,Undisclosed,,,,G
78301-77997,G,Jason,Jason Day,Day,57.02142769949777,14,10500,,,,,,,,,G
78301-137069,G,Joohyung,Joohyung Kim,Kim,64.23333231608073,6,10400,,,,,,,,,G
78301-78241,G,Mark,Mark Hubbard,Hubbard,68.7388916015625,18,10400,,,,O,Undisclosed,,,,G
78301-78390,G,Martin,Martin Laird,Laird,58.06666395399306,18,10300,,,,,,,,,G
78301-78636,G,Ryan,Ryan Palmer,Palmer,48.30000135633681,18,10200,,,,,,,,,G
78301-78093,G,Rickie,Rickie Fowler,Fowler,47.127777099609375,18,10100,,,,,,,,,G
78301-78843,G,Brendan,Brendan Steele,Steele,53.21666802300347,18,10000,,,,,,,,,G
78301-78185,G,Nick,Nick Hardy,Hardy,57.42941104664522,17,9900,,,,,,,,,G
78301-78456,G,Adam,Adam Long,Long,58.23333231608073,24,9900,,,,,,,,,G
