Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78293-78078,G,Tony,Tony Finau,Finau,68.41500244140624,20,12000,,,,,,,,,G
78293-78508,G,Hideki,Hideki Matsuyama,Matsuyama,79.10555691189236,18,11900,,,,,,,,,G
78293-78258,G,Sungjae,Sungjae Im,Im,72.96316046463816,19,11500,,,,,,,,,G
78293-78166,G,Adam,Adam Hadwin,Hadwin,66.28095354352679,21,11400,,,,,,,,,G
78293-78538,G,Maverick,Maverick McNealy,McNealy,73.66666666666667,21,11300,,,,,,,,,G
78293-79759,G,Sahith,Sahith Theegala,Theegala,69.92307692307692,26,11200,,,,,,,,,G
78293-79599,G,Davis,Davis Riley,Riley,65.795654296875,23,11100,,,,,,,,,G
78293-78913,G,Cameron,Cameron Tringale,Tringale,65.04347826086956,23,11000,,,,,,,,,G
78293-77994,G,Cameron,Cameron Davis,Davis,62.333333333333336,21,10900,,,,,,,,,G
78293-78689,G,J.T.,J.T. Poston,Poston,51.2124989827474,24,10800,,,,,,,,,G
78293-78719,G,Chez,Chez Reavie,Reavie,54.23043690557065,23,10700,,,,,,,,,G
78293-78239,G,Charles,Charles Howell III,Howell III,64.0374984741211,16,10600,,,,,,,,,G
78293-77997,G,Jason,Jason Day,Day,58.949999128069194,14,10500,,,,,,,,,G
78293-137069,G,Joohyung,Joohyung Kim,Kim,68.39999898274739,6,10400,,,,,,,,,G
78293-78241,G,Mark,Mark Hubbard,Hubbard,71.7388916015625,18,10400,,,,O,Undisclosed,,,,G
78293-78390,G,Martin,Martin Laird,Laird,60.399997287326386,18,10300,,,,,,,,,G
78293-78636,G,Ryan,Ryan Palmer,Palmer,50.077779134114586,18,10200,,,,,,,,,G
78293-78093,G,Rickie,Rickie Fowler,Fowler,48.51666598849826,18,10100,,,,,,,,,G
78293-78843,G,Brendan,Brendan Steele,Steele,55.827779134114586,18,10000,,,,,,,,,G
78293-78185,G,Nick,Nick Hardy,Hardy,58.958822811351105,17,9900,,,,,,,,,G
78293-78456,G,Adam,Adam Long,Long,59.94166564941406,24,9900,,,,,,,,,G
78293-78904,G,Brendon,Brendon Todd,Todd,59.89047386532738,21,9800,,,,,,,,,G
78293-78154,G,Emiliano,Emiliano Grillo,Grillo,53.5874989827474,24,9800,,,,,,,,,G
