Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
78031-78530,G,Rory,Rory McIlroy,McIlroy,88.77692119891827,13,12000,,,,,,,,,G
78031-78767,G,Scottie,Scottie Scheffler,Scheffler,91.3,20,11900,,,,,,,,,G
78031-78707,G,Jon,Jon Rahm,Rahm,80.42143031529018,14,11800,,,,,,,,,G
78031-78893,G,Justin,Justin Thomas,Thomas,94.25294404871323,17,11700,,,,,,,,,G
78031-78467,G,Shane,Shane Lowry,Lowry,67.93333435058594,12,11500,,,,,,,,,G
78031-78569,G,Collin,Collin Morikawa,Morikawa,75.92143031529018,14,11400,,,,,,,,,G
78031-78766,G,Xander,Xander Schauffele,Schauffele,86.2562484741211,16,11300,,,,,,,,,G
78031-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,72.1937484741211,16,11200,,,,,,,,,G
78031-78833,G,Jordan,Jordan Spieth,Spieth,70.31110975477431,18,11100,,,,,,,,,G
78031-79018,G,Will,Will Zalatoris,Zalatoris,69.58823529411765,17,11000,,,,,,,,,G
78031-78815,G,Cameron,Cameron Smith,Smith,81.67857142857143,14,10900,,,,,,,,,G
78031-78289,G,Dustin,Dustin Johnson,Johnson,62.570001220703126,10,10800,,,,,,,,,G
78031-79435,G,Patrick,Patrick Cantlay,Cantlay,86.39999624399039,13,10700,,,,,,,,,G
78031-101713,G,Viktor,Viktor Hovland,Hovland,78.6875,16,10600,,,,,,,,,G
78031-78508,G,Hideki,Hideki Matsuyama,Matsuyama,79.97646915211396,17,10500,,,,,,,,,G
78031-78367,G,Brooks,Brooks Koepka,Koepka,56.68000081380208,15,10400,,,,,,,,,G
78031-78620,G,Louis,Louis Oosthuizen,Oosthuizen,58.25,10,10300,,,,,,,,,G
78031-78193,G,Tyrrell,Tyrrell Hatton,Hatton,64.88571602957589,14,10200,,,,,,,,,G
78031-77904,G,Sam,Sam Burns,Burns,77.475,20,10100,,,,,,,,,G
78031-78084,G,Tommy,Tommy Fleetwood,Fleetwood,67.43571254185268,14,10000,,,,,,,,,G
78031-107336,G,Cameron,Cameron Young,Young,65.8631591796875,19,9900,,,,,,,,,G
78031-78078,G,Tony,Tony Finau,Finau,67.47368421052632,19,9900,,,,,,,,,G
78031-80558,G,Joaquin,Joaquin Niemann,Niemann,72.13333468967014,18,9800,,,,,,,,,G
78031-78258,G,Sungjae,Sungjae Im,Im,74.82777913411458,18,9800,,,,,,,,,G
78031-77848,G,Daniel,Daniel Berger,Berger,69.06666564941406,12,9700,,,,O,Back,,,,G
78031-78744,G,Justin,Justin Rose,Rose,65.1933349609375,15,9700,,,,,,,,,G
78031-78430,G,Marc,Marc Leishman,Leishman,66.26666937934027,18,9600,,,,,,,,,G
78031-78780,G,Adam,Adam Scott,Scott,66.12307504507211,13,9600,,,,,,,,,G
78031-77966,G,Corey,Corey Conners,Conners,65.61578690378289,19,9500,,,,,,,,,G
78031-77806,G,Abraham,Abraham Ancer,Ancer,61.605885225183826,17,9500,,,,,,,,,G
78031-78722,G,Patrick,Patrick Reed,Reed,58.47999877929688,20,9400,,,,,,,,,G
78031-78005,G,Bryson,Bryson DeChambeau,DeChambeau,42.32856968470982,7,9400,,,,,,,,,G
78031-78095,G,Ryan,Ryan Fox,Fox,33.03333282470703,3,9300,,,,,,,,,G
78031-110893,G,Robert,Robert Macintyre,Macintyre,47.8,5,9300,,,,,,,,,G
78031-77922,G,Paul,Paul Casey,Casey,60.6000010172526,6,9200,,,,,,,,,G
78031-78692,G,Seamus,Seamus Power,Power,69.73809523809524,21,9200,,,,,,,,,G
78031-78188,G,Padraig,Padraig Harrington,Harrington,16.38000030517578,5,9100,,,,,,,,,G
78031-78232,G,Billy,Billy Horschel,Horschel,69.44666341145833,15,9100,,,,,,,,,G
78031-78116,G,Sergio,Sergio Garcia,Garcia,59.69000244140625,10,9000,,,,,,,,,G
78031-78663,G,Mito,Mito Pereira,Pereira,64.28695546025816,23,9000,,,,,,,,,G
78031-78228,G,Max,Max Homa,Homa,74.50588091681985,17,9000,,,,,,,,,G
78031-78666,G,Victor,Victor Perez,Perez,28.875,4,8900,,,,,,,,,G
78031-78211,G,Lucas,Lucas Herbert,Herbert,45.333333333333336,15,8900,,,,,,,,,G
78031-78998,G,Gary,Gary Woodland,Woodland,52.34000244140625,20,8900,,,,,,,,,G
78031-110898,G,Christiaan,Christiaan Bezuidenhout,Bezuidenhout,62.50555419921875,18,8800,,,,,,,,,G
78031-78999,G,Tiger,Tiger Woods,Woods,23.899999618530273,2,8800,,,,,,,,,G
78031-78804,G,Webb,Webb Simpson,Simpson,61.86249923706055,16,8800,,,,,,,,,G
78031-77881,G,Keegan,Keegan Bradley,Bradley,65.9105288856908,19,8700,,,,,,,,,G
