Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
77924-78767,G,Scottie,Scottie Scheffler,Scheffler,95.1842105263158,19,12000,,,,,,,,,G
77924-78707,G,Jon,Jon Rahm,Rahm,82.54615196814903,13,11900,,,,,,,,,G
77924-78893,G,Justin,Justin Thomas,Thomas,99.5875015258789,16,11800,,,,,,,,,G
77924-78766,G,Xander,Xander Schauffele,Schauffele,84.7933349609375,15,11700,,,,,,,,,G
77924-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,71.8933349609375,15,11600,,,,,,,,,G
77924-78569,G,Collin,Collin Morikawa,Morikawa,80.39230581430289,13,11400,,,,,,,,,G
77924-78833,G,Jordan,Jordan Spieth,Spieth,70.09999712775735,17,11300,,,,,,,,,G
77924-79018,G,Will,Will Zalatoris,Zalatoris,73.01875305175781,16,11200,,,,,,,,,G
77924-79435,G,Patrick,Patrick Cantlay,Cantlay,86.9500020345052,12,11100,,,,,,,,,G
77924-78815,G,Cameron,Cameron Smith,Smith,82.4923095703125,13,11000,,,,,,,,,G
77924-77904,G,Sam,Sam Burns,Burns,79.40526058799342,19,10900,,,,,,,,,G
77924-78508,G,Hideki,Hideki Matsuyama,Matsuyama,84.16874694824219,16,10800,,,,,,,,,G
77924-101713,G,Viktor,Viktor Hovland,Hovland,82.92666829427084,15,10700,,,,,,,,,G
77924-78084,G,Tommy,Tommy Fleetwood,Fleetwood,66.96153846153847,13,10600,,,,,,,,,G
77924-78258,G,Sungjae,Sungjae Im,Im,78.48823816636029,17,10500,,,,,,,,,G
77924-78185,G,Nick,Nick Hardy,Hardy,57.23749923706055,16,10400,,,,O,Undisclosed,,,,G
77924-78232,G,Billy,Billy Horschel,Horschel,73.53571428571429,14,10400,,,,,,,,,G
77924-80558,G,Joaquin,Joaquin Niemann,Niemann,72.8529411764706,17,10300,,,,,,,,,G
77924-78193,G,Tyrrell,Tyrrell Hatton,Hatton,65.51538555438702,13,10200,,,,,,,,,G
77924-78744,G,Justin,Justin Rose,Rose,67.26428658621651,14,10100,,,,,,,,,G
77924-78228,G,Max,Max Homa,Homa,75.375,16,10000,,,,,,,,,G
77924-77881,G,Keegan,Keegan Bradley,Bradley,69.2611083984375,18,9900,,,,,,,,,G
77924-77966,G,Corey,Corey Conners,Conners,67.09444173177083,18,9900,,,,,,,,,G
77924-78095,G,Ryan,Ryan Fox,Fox,27.600000381469727,2,9800,,,,,,,,,G
77924-107336,G,Cameron,Cameron Young,Young,69.49444580078125,18,9800,,,,,,,,,G
77924-110893,G,Robert,Robert Macintyre,Macintyre,56.150001525878906,4,9700,,,,,,,,,G
77924-78211,G,Lucas,Lucas Herbert,Herbert,46.56428745814732,14,9700,,,,,,,,,G
77924-78663,G,Mito,Mito Pereira,Pereira,66.45454545454545,22,9600,,,,,,,,,G
77924-78935,G,Harold,Harold Varner III,Varner III,66.15293974034927,17,9600,,,,O,Undisclosed,,,,G
77924-78599,G,Alex,Alex Noren,Noren,63.087501525878906,16,9500,,,,,,,,,G
77924-78187,G,Brian,Brian Harman,Harman,59.85999755859375,20,9500,,,,,,,,,G
77924-78709,G,Aaron,Aaron Rai,Rai,59.813041355298914,23,9400,,,,,,,,,G
77924-78552,G,Keith,Keith Mitchell,Mitchell,72.28947368421052,19,9400,,,,,,,,,G
77924-78430,G,Marc,Marc Leishman,Leishman,69.12352797564338,17,9300,,,,,,,,,G
77924-152967,G,Adrian,Adrian Meronk,Meronk,35.45000076293945,2,9300,,,,,,,,,G
77924-78998,G,Gary,Gary Woodland,Woodland,51.663156609786185,19,9200,,,,,,,,,G
77924-78579,G,Sebastian,Sebastian Munoz,Munoz,65.1368408203125,19,9200,,,,,,,,,G
77924-78355,G,Chris,Chris Kirk,Kirk,66.38947496916118,19,9100,,,,,,,,,G
77924-78382,G,Matt,Matt Kuchar,Kuchar,72.0062484741211,16,9000,,,,,,,,,G
77924-110898,G,Christiaan,Christiaan Bezuidenhout,Bezuidenhout,62.62940889246323,17,9000,,,,,,,,,G
77924-78439,G,Hao-Tong,Hao-Tong Li,Li,57.29999923706055,2,9000,,,,,,,,,G
77924-77984,G,Joel,Joel Dahmen,Dahmen,63.04761904761905,21,8900,,,,,,,,,G
77924-78538,G,Maverick,Maverick McNealy,McNealy,73.14210269325658,19,8900,,,,,,,,,G
77924-78817,G,Jordan L.,Jordan L. Smith,Smith,13.899999618530273,1,8900,,,,,,,,,G
77924-78372,G,Jason,Jason Kokrak,Kokrak,63.125,16,8800,,,,,,,,,G
77924-78913,G,Cameron,Cameron Tringale,Tringale,64.05237978980655,21,8800,,,,,,,,,G
77924-78938,G,Jhonattan,Jhonattan Vegas,Vegas,63.56315532483553,19,8800,,,,,,,,,G
77924-77816,G,Ryan,Ryan Armour,Armour,49.119999186197916,15,8800,,,,,,,,,G
77924-78346,G,Si Woo,Si Woo Kim,Kim,62.01818292791193,22,8700,,,,,,,,,G
77924-78739,G,Patrick,Patrick Rodgers,Rodgers,57.47727272727273,22,8700,,,,,,,,,G
77924-78011,G,Thomas,Thomas Detry,Detry,88.33333333333333,3,8700,,,,,,,,,G
77924-78931,G,Erik,Erik Van Rooyen,Van Rooyen,50.86000162760417,15,8600,,,,,,,,,G
77924-151407,G,Min Woo,Min Woo Lee,Lee,30.27777777777778,9,8600,,,,,,,,,G
77924-78225,G,Tom,Tom Hoge,Hoge,62.4125010172526,24,8600,,,,,,,,,G
77924-78561,G,Francesco,Francesco Molinari,Molinari,52.42666829427083,15,8600,,,,,,,,,G
77924-78363,G,Russell,Russell Knox,Knox,53.99130647078805,23,8500,,,,,,,,,G
77924-152857,G,Johannes,Johannes Veerman,Veerman,30.899999618530273,2,8500,,,,,,,,,G
77924-78419,G,Kyoung-Hoon,Kyoung-Hoon Lee,Lee,63.42727383700284,22,8500,,,,,,,,,G
77924-151427,G,Rasmus,Rasmus Hojgaard,Hojgaard,67.1,5,8500,,,,,,,,,G
77924-78101,G,Dylan,Dylan Frittelli,Frittelli,53.86521845278533,23,8400,,,,,,,,,G
77924-78889,G,Nick,Nick Taylor,Taylor,51.80000106148098,23,8400,,,,,,,,,G
77924-78451,G,Luke,Luke List,List,57.72272838245738,22,8400,,,,,,,,,G
77924-78243,G,Mackenzie,Mackenzie Hughes,Hughes,56.79500122070313,20,8400,,,,,,,,,G
77924-78636,G,Ryan,Ryan Palmer,Palmer,49.78235222311581,17,8300,,,,,,,,,G
77924-78691,G,Ian,Ian Poulter,Poulter,51.791666666666664,12,8300,,,,,,,,,G
77924-152966,G,Edoardo,Edoardo Molinari,Molinari,48.29999923706055,1,8300,,,,,,,,,G
77924-78984,G,Danny,Danny Willett,Willett,47.65333251953125,15,8300,,,,,,,,,G
77924-78847,G,Henrik,Henrik Stenson,Stenson,39.399999445134945,11,8300,,,,,,,,,G
77924-80464,G,Adri,Adri Arnaus,Arnaus,28.850000381469727,2,8200,,,,,,,,,G
77924-78951,G,Matt,Matt Wallace,Wallace,40.08124923706055,16,8200,,,,,,,,,G
77924-78268,G,Stephan,Stephan Jaeger,Jaeger,46.895833333333336,24,8200,,,,,,,,,G
77924-78050,G,Harris,Harris English,English,57.76666937934028,9,8200,,,,,,,,,G
77924-78591,G,Matthew,Matthew NeSmith,NeSmith,57.65652067764945,23,8200,,,,,,,,,G
77924-101395,G,John,John Catlin,Catlin,24.5,3,8100,,,,,,,,,G
77924-78666,G,Victor,Victor Perez,Perez,34.86666615804037,3,8100,,,,,,,,,G
77924-78188,G,Padraig,Padraig Harrington,Harrington,19.075000762939453,4,8100,,,,,,,,,G
77924-151464,G,Antoine,Antoine Rozner,Rozner,49.460000610351564,5,8100,,,,,,,,,G
77924-78093,G,Rickie,Rickie Fowler,Fowler,48.2705867991728,17,8000,,,,,,,,,G
77924-78617,G,Thorbjorn,Thorbjorn Olesen,Olesen,6.099999904632568,1,8000,,,,,,,,,G
77924-78118,G,Brice,Brice Garnett,Garnett,46.43912937330163,23,8000,,,,O,Undisclosed,,,,G
77924-80579,G,Sepp,Sepp Straka,Straka,52.14166768391927,24,8000,,,,,,,,,G
