Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
77734-78804,G,Webb,Webb Simpson,Simpson,63.14666748046875,15,12000,,,,,,,,,G
77734-77848,G,Daniel,Daniel Berger,Berger,69.06666564941406,12,11900,,,,O,Back,,,,G
77734-78166,G,Adam,Adam Hadwin,Hadwin,68.00499877929687,20,11700,,,,,,,,,G
77734-79759,G,Sahith,Sahith Theegala,Theegala,68.35833231608073,24,11500,,,,,,,,,G
77734-77997,G,Jason,Jason Day,Day,58.949999128069194,14,11400,,,,,,,,,G
77734-78520,G,Denny,Denny McCarthy,McCarthy,64.8913043478261,23,11200,,,,,,,,,G
77734-78538,G,Maverick,Maverick McNealy,McNealy,71.52222357855902,18,11100,,,,,,,,,G
77734-78904,G,Brendon,Brendon Todd,Todd,58.945001220703126,20,10900,,,,,,,,,G
77734-78239,G,Charles,Charles Howell III,Howell III,61.6,15,10800,,,,,,,,,G
77734-78739,G,Patrick,Patrick Rodgers,Rodgers,55.77142624627976,21,10700,,,,,,,,,G
77734-78839,G,Scott,Scott Stallings,Stallings,57.03333536783854,24,10600,,,,,,,,,G
77734-78456,G,Adam,Adam Long,Long,58.41304347826087,23,10500,,,,,,,,,G
77734-78185,G,Nick,Nick Hardy,Hardy,54.41999918619792,15,10400,,,,,,,,,G
77734-77994,G,Cameron,Cameron Davis,Davis,57.31578947368421,19,10300,,,,,,,,,G
77734-78689,G,J.T.,J.T. Poston,Poston,47.22727272727273,22,10200,,,,,,,,,G
77734-110898,G,Christiaan,Christiaan Bezuidenhout,Bezuidenhout,58.48125076293945,16,10100,,,,,,,,,G
77734-80553,G,Cameron,Cameron Champ,Champ,45.6066650390625,15,10000,,,,,,,,,G
77734-78857,G,Kevin,Kevin Streelman,Streelman,52.45454545454545,22,9900,,,,,,,,,G
77734-78135,G,Lucas,Lucas Glover,Glover,58.054998779296874,20,9900,,,,,,,,,G
77734-78872,G,Adam,Adam Svensson,Svensson,55.708333333333336,24,9800,,,,,,,,,G
77734-78245,G,John,John Huh,Huh,57.422220865885414,18,9800,,,,,,,,,G
77734-78390,G,Martin,Martin Laird,Laird,53.96875,16,9700,,,,,,,,,G
77734-82773,G,C.T.,C.T. Pan,Pan,58.91579075863487,19,9700,,,,,,,,,G
77734-78101,G,Dylan,Dylan Frittelli,Frittelli,52.09090909090909,22,9600,,,,,,,,,G
77734-78154,G,Emiliano,Emiliano Grillo,Grillo,51.55454323508523,22,9600,,,,,,,,,G
77734-82444,G,Doug,Doug Ghim,Ghim,50.68571544828869,21,9500,,,,,,,,,G
77734-78719,G,Chez,Chez Reavie,Reavie,51.323811848958336,21,9500,,,,,,,,,G
77734-78389,G,Anirban,Anirban Lahiri,Lahiri,48.48500061035156,20,9400,,,,,,,,,G
77734-79480,G,Lanto,Lanto Griffin,Griffin,61.93636252663352,22,9400,,,,,,,,,G
77734-78660,G,Taylor,Taylor Pendrith,Pendrith,61.83999837239583,15,9300,,,,,,,,,G
77734-78769,G,Adam,Adam Schenk,Schenk,45.96153846153846,26,9300,,,,,,,,,G
77734-80560,G,Alex,Alex Smalley,Smalley,54.23043690557065,23,9200,,,,,,,,,G
77734-78358,G,Patton,Patton Kizzire,Kizzire,55.16363525390625,22,9100,,,,,,,,,G
77734-78450,G,David,David Lipsky,Lipsky,52.10434888756794,23,9100,,,,,,,,,G
77734-79954,G,Hank,Hank Lebioda,Lebioda,45.418182373046875,22,9000,,,,,,,,,G
77734-78223,G,Charley,Charley Hoffman,Hoffman,43.905263800370065,19,9000,,,,,,,,,G
77734-78241,G,Mark,Mark Hubbard,Hubbard,62.1066650390625,15,9000,,,,,,,,,G
77734-78858,G,Steve,Steve Stricker,Stricker,52.72727272727273,11,8900,,,,O,Undisclosed,,,,G
77734-78403,G,Nate,Nate Lashley,Lashley,59.03636585582387,22,8900,,,,,,,,,G
77734-78565,G,Ryan,Ryan Moore,Moore,49.070001220703126,10,8900,,,,,,,,,G
77734-78214,G,Kramer,Kramer Hickok,Hickok,44.552001953125,25,8800,,,,,,,,,G
77734-78291,G,Zach,Zach Johnson,Johnson,38.15263286389803,19,8800,,,,,,,,,G
77734-77816,G,Ryan,Ryan Armour,Armour,51.221426827566965,14,8800,,,,,,,,,G
77734-78169,G,James,James Hahn,Hahn,42.06666734483507,18,8700,,,,,,,,,G
77734-79454,G,Tyler,Tyler Duncan,Duncan,54.70499877929687,20,8700,,,,,,,,,G
77734-101765,G,Lee,Lee Hodges,Hodges,52.70000110973012,22,8700,,,,,,,,,G
77734-78889,G,Nick,Nick Taylor,Taylor,52.50908868963068,22,8600,,,,,,,,,G
77734-78165,G,Chesson,Chesson Hadley,Hadley,45.04761904761905,21,8600,,,,,,,,,G
77734-78698,G,Andrew,Andrew Putnam,Putnam,50.875,24,8600,,,,,,,,,G
77734-79597,G,Chad,Chad Ramey,Ramey,51.48636141690341,22,8600,,,,,,,,,G
77734-107347,G,Callum,Callum Tarren,Tarren,44.894443088107636,18,8500,,,,,,,,,G
77734-101528,G,Hayden,Hayden Buckley,Buckley,49.15652067764945,23,8500,,,,,,,,,G
77734-79811,G,Matthias,Matthias Schwab,Schwab,59.76874923706055,16,8500,,,,,,,,,G
77734-78821,G,Brandt,Brandt Snedeker,Snedeker,43.745001220703124,20,8500,,,,,,,,,G
77734-78951,G,Matt,Matt Wallace,Wallace,40.63333333333333,15,8400,,,,,,,,,G
77734-165988,G,Chris,Chris Gotterup,Gotterup,56.82500076293945,4,8400,,,,,,,,,G
77734-78753,G,Rory,Rory Sabbatini,Sabbatini,51.41999918619792,15,8400,,,,,,,,,G
77734-78566,G,Taylor,Taylor Moore,Moore,47.13500061035156,20,8400,,,,,,,,,G
77734-78897,G,Michael,Michael Thompson,Thompson,55.9789460834704,19,8300,,,,,,,,,G
77734-78675,G,Scott,Scott Piercy,Piercy,47.909522646949405,21,8300,,,,,,,,,G
77734-78500,G,Ben,Ben Martin,Martin,52.76666598849826,9,8300,,,,,,,,,G
77734-80362,G,Austin,Austin Smotherman,Smotherman,55.422220865885414,18,8300,,,,,,,,,G
77734-82446,G,Doc,Doc Redman,Redman,47.19523693266369,21,8200,,,,,,,,,G
77734-77884,G,Joseph,Joseph Bramlett,Bramlett,48.74782396399456,23,8200,,,,,,,,,G
77734-107350,G,Brandon,Brandon Wu,Wu,50.17368356805099,19,8200,,,,,,,,,G
77734-78268,G,Stephan,Stephan Jaeger,Jaeger,45.743477199388586,23,8200,,,,,,,,,G
77734-77934,G,Kevin,Kevin Chappell,Chappell,49.07692307692308,13,8100,,,,,,,,,G
77734-78751,G,Sam,Sam Ryder,Ryder,49.67825980808424,23,8100,,,,,,,,,G
77734-82357,G,Greyson,Greyson Sigg,Sigg,53.69545676491477,22,8100,,,,,,,,,G
77734-78582,G,Grayson,Grayson Murray,Murray,39.26666768391927,6,8100,,,,,,,,,G
77734-78118,G,Brice,Brice Garnett,Garnett,46.87727494673295,22,8000,,,,,,,,,G
77734-77894,G,Scott,Scott Brown,Brown,52.5,8,8000,,,,,,,,,G
77734-77897,G,Wesley,Wesley Bryan,Bryan,49.116668701171875,12,8000,,,,,,,,,G
77734-116964,G,Harry,Harry Higgs,Higgs,42.2304342518682,23,8000,,,,,,,,,G
77734-78600,G,Henrik,Henrik Norlander,Norlander,43.92000122070313,20,7900,,,,,,,,,G
77734-78856,G,Robert,Robert Streb,Streb,47.24091131036932,22,7900,,,,,,,,,G
77734-78782,G,Chase,Chase Seiffert,Seiffert,51.083333333333336,12,7900,,,,,,,,,G
77734-116974,G,Vince,Vince Whaley,Whaley,55.47727272727273,22,7900,,,,,,,,,G
